feature,rmse_increase,importance_pct
distance_km,110.38174670399587,37.36351305596757
log_distance_km,106.43548190823043,36.02772774162312
hour_cos,86.80179436498935,29.381850476916632
sqrt_distance_km,84.3584271581006,28.554786353897043
abs_delta_longitude,61.87526198257871,20.944379192758348
hour_sin,57.12374812941823,19.336022238920204
dropoff_longitude,55.12900489092402,18.660814450854975
pickup_longitude,40.07496542788624,13.565118678522165
pickup_latitude,37.54958228365109,12.71029268692065
dropoff_dist_center,36.90408962271084,12.491797562638482
pickup_dist_center,32.396739716104946,10.96608853816635
dropoff_latitude,29.988169790516906,10.15080307160957
delta_longitude,29.62512179044421,10.027913652881356
bearing_sin,20.691405840592893,7.003908122096508
manhattan_km,18.812031376489074,6.367751923962592
month_cos,14.442533397440116,4.888704892517948
bearing_cos,13.908705990949954,4.708007740428884
weekday_cos,10.749059631439877,3.638487719855396
abs_delta_latitude,10.065112880343406,3.4069761327747172
distance_x_rush,10.062840999181503,3.40620711557768
weekday_sin,9.410902767998266,3.1855302071226927
delta_latitude,9.009057769490198,3.0495082533435545
is_weekend,8.472744288694855,2.8679695810527055
distance_x_weekend,7.591563421842864,2.5696955112322346
pickup_near_jfk,5.923418524000965,2.00503916604047
pickup_day,3.9247814107632735,1.3285133263574622
is_night,3.456904266732579,1.1701399149776002
is_evening_rush,2.556569611485088,0.8653824106749262
dropoff_near_jfk,1.997556879896763,0.6761601876278218
month_sin,1.826891805518983,0.6183911549288582
is_long_trip,1.6802594624156768,0.5687570475735959
pickup_near_lga,1.5936873838647898,0.5394529544259087
dropoff_near_lga,1.4488145810886408,0.4904144401822732
is_morning_rush,1.1841934169534625,0.40084187391763604
is_rush_hour,1.1343443294142617,0.3839682776146743
passenger_count,0.0620206338651883,0.020993586642323536
vendor_id,-0.1146064920903882,-0.03879356226352278
is_short_trip,-0.9335873408603561,-0.316013325035191
